architecture,strategy,splitCIFAR10,splitCIFAR100,splitCORe50,splitEmbeddedCIFAR100,splitFMNIST
AE,cumulative,0.8720999956130981,0.6166999936103821,0.35599929094314575,0.323199987411499,0.9150999784469604
AE,finetuning,0.193900004029274,0.08990000188350677,0.07453526556491852,0.07519999891519547,0.19949999451637268
AE,taskInference,0.7123000025749207,0.23510000109672546,0.05532331392168999,0.21940000355243683,0.9596999883651733
AE,taskOracle,0.9375,0.5475000143051147,0.4322022497653961,0.36880001425743103,0.9937999844551086
VAE,cumulative,0.8725000023841858,0.6105999946594238,0.3603575527667999,0.30799999833106995,0.8988999724388123
VAE,finetuning,0.19449999928474426,0.08910000324249268,0.07506892830133438,0.0746999979019165,0.19949999451637268
VAE,taskInference,0.7294999957084656,0.3091000020503998,0.05309970676898956,0.21570000052452087,0.9926999807357788
VAE,taskOracle,0.9381999969482422,0.5910000205039978,0.40322867035865784,0.2849999964237213,0.9936000108718872
