experiment_code,dataset,architecture,strategy,experiment_category,id,repo_hash,final_accuracy,Task Identification Accuracy,Accuracy given Bad Task Identification,Accuracy given Good Task Identification,batch_size,classifier_loss_weight,dataset_name,deep_generative_type,device,embedding_module,fixed_class_order,input_shape,is_image_data,latent_dims,learning_rate,lwf_alpha,n_experiences,name,network_architecture,prune_proportion,recon_loss_type,reconstruction_loss_weight,replay_buffer,retrain_epochs,si_lambda,task_inference_strategy,total_task_epochs,use_adam,use_classifier_loss,use_experience_replay,use_generative_replay_strategy,use_learning_without_forgetting,use_packnet,use_reconstruction_loss,use_synaptic_intelligence,use_vae_loss,loss,vae_loss_weight,vanilla_cnn_config,rectangular_mlp_config,use_generative_replay
"['0017', 'ml-25', '44424907', 'PL', 'splitCORe50', 'AE', 'taskInference']",splitCORe50,AE,taskInference,PL,0017,44424907,0.06650804728269577,"[1.0, 0.6084973812103271, 0.37625083327293396, 0.2704175114631653, 0.23996086418628693, 0.18571904301643372, 0.1469859629869461, 0.13572698831558228, 0.12065813690423965, 0.11144712567329407]","[nan, 0.0, 0.001901366631500423, 0.001219233381561935, 0.0009361652191728354, 0.004778156988322735, 0.002122272737324238, 0.006012861616909504, 0.005253694485872984, 0.004679679870605469]","[0.8023566007614136, 0.7916285991668701, 0.6516942381858826, 0.7053865194320679, 0.6210155487060547, 0.6458499431610107, 0.601123571395874, 0.5741195678710938, 0.5741195678710938, 0.5594573020935059]",64.0,1.0,CORe50_NC,AE,cuda,None,True,"[3, 128, 128]",True,64.0,0.0001,32.0,10.0,ml-25_44424907_PL_splitCORe50_AE_taskInference,residual,0.4,bce,1.0,1000.0,1.0,1000.0,task_reconstruction_loss,5.0,True,True,False,False,False,True,True,False,False,,,,,
"['0240', 'ml-22', '77513f89', 'OS', 'splitEmbeddedCORe50', 'AE', 'LwF']",splitEmbeddedCORe50,AE,LwF,OS,0240,77513f89,0.020034687593579292,,,,64.0,1.0,CORe50_NC,AE,cuda,ResNet50,True,2048,False,512.0,0.0001,32.0,10.0,ml-22_77513f89_OS_splitEmbeddedCORe50_AE_LwF,rectangular,0.5,mse,1.0,1000.0,3.0,1000.0,,10.0,False,True,False,False,True,False,True,False,False,,,,,
"['0024', 'ml-25', '44424907', 'PL', 'splitEmbeddedCIFAR100', 'AE', 'taskInference']",splitEmbeddedCIFAR100,AE,taskInference,PL,0024,44424907,0.5573999881744385,"[1.0, 1.0, 1.0, 0.984000027179718, 0.974399983882904, 0.9466666579246521, 0.9485714435577393, 0.9419999718666077, 0.8773333430290222, 0.8151999711990356]","[nan, nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.781000018119812, 0.7735000252723694, 0.7776666879653931, 0.7583841681480408, 0.7522578239440918, 0.7338027954101562, 0.7105421423912048, 0.6922770738601685, 0.6849037408828735, 0.6837586164474487]",64.0,1.0,CIFAR100,AE,cuda,ResNet50,True,2048,False,512.0,0.0001,32.0,10.0,ml-25_44424907_PL_splitEmbeddedCIFAR100_AE_taskInference,rectangular,0.6,mse,1.0,1000.0,30.0,1000.0,task_reconstruction_loss,100.0,True,True,False,False,False,True,True,False,False,,,,,
"['0079', 'ml-25', 'e2133f95', 'EP', 'splitCIFAR10', 'AE', 'taskOracle']",splitCIFAR10,AE,taskOracle,EP,0079,e2133f95,0.9365000128746033,"[1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan]","[0.9456740617752075, 0.9559859037399292, 0.9344399571418762, 0.9435991048812866, 0.9366448521614075]",64.0,1.0,CIFAR10,AE,cuda,None,False,"[3, 32, 32]",True,64.0,0.0001,32.0,5.0,ml-25_e2133f95_EP_splitCIFAR10_AE_taskOracle,residual,"[0.8333333333333334, 0.6666666666666667, 0.5000000000000001, 0.3333333333333335, 0.16666666666666685, 2.220446049250313e-16]",bce,1.0,1000.0,10.0,1000.0,task_oracle,50.0,True,True,False,False,False,True,True,False,False,,,,,
"['0072', 'ml-24', 'dd88ddf', 'N', 'splitEmbeddedCIFAR100', 'AE', 'taskInference']",splitEmbeddedCIFAR100,AE,taskInference,N,0072,dd88ddf,0.5077999830245972,"[0.0, 0.5640000104904175, 1.0, 0.7179999947547913, 0.7360000014305115]","[0.7250000238418579, 0.6972476840019226, nan, 0.43528369069099426, 0.0]","[nan, 0.7171986103057861, 0.7106666564941406, 0.7130919098854065, 0.689945638179779]",64.0,1.0,CIFAR100,AE,cuda,ResNet18,True,512,False,64.0,0.0001,,10.0,splitEmbeddedCIFAR100_AE_taskInference,rectangular_network,0.5,mse,1.0,,5.0,,task_reconstruction_loss,20.0,,True,,,,True,True,,False,2.5149543285369873,,,,
"['0315', 'ml-22', '225373d6', 'OS', 'splitCIFAR10', 'AE', 'LwF']",splitCIFAR10,AE,LwF,OS,0315,225373d6,,,,,64.0,1.0,CIFAR10,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.01,8.0,5.0,ml-22_225373d6_OS_splitCIFAR10_AE_LwF,residual,0.5,bce,1.0,1000.0,10.0,1000.0,,50.0,False,True,False,False,True,False,True,False,False,,,,,
"['0121', 'ml-25', 'e2133f95', 'EP', 'splitFMNIST', 'VAE', 'taskOracle']",splitFMNIST,VAE,taskOracle,EP,0121,e2133f95,0.986299991607666,"[1.0, 1.0, 1.0, 1.0, 1.0]","[nan, nan, nan, nan, nan]","[0.9944667816162109, 0.9917001724243164, 0.9919517040252686, 0.9831174612045288, 0.9862927794456482]",64.0,1.0,FMNIST,VAE,cuda,None,False,"[1, 32, 32]",True,64.0,0.0001,32.0,5.0,ml-25_e2133f95_EP_splitFMNIST_VAE_taskOracle,vanilla_cnn,"[0.8333333333333334, 0.6666666666666667, 0.5000000000000001, 0.3333333333333335, 0.16666666666666685, 2.220446049250313e-16]",bce,1.0,1000.0,5.0,1000.0,task_oracle,20.0,True,True,False,False,False,True,True,False,True,,0.001,,,
"['0226', 'ml-22', '6d14d70a', 'OS', 'splitEmbeddedCORe50', 'VAE', 'genReplay']",splitEmbeddedCORe50,VAE,genReplay,OS,0226,6d14d70a,0.07362359017133713,,,,64.0,1.0,CORe50_NC,VAE,cuda,ResNet50,True,2048,False,512.0,0.0001,32.0,10.0,ml-22_6d14d70a_OS_splitEmbeddedCORe50_VAE_genReplay,rectangular,0.5,mse,1.0,1000.0,3.0,1000.0,,10.0,,True,False,False,False,False,True,False,True,,0.001,,,True
"['0272', 'ml-22', 'ad06b17a', 'OS', 'splitCORe50', 'AE', 'SI']",splitCORe50,AE,SI,OS,0272,ad06b17a,0.02185804583132267,,,,64.0,1.0,CORe50_NC,AE,cuda,None,True,"[3, 128, 128]",True,526.0,0.01,32.0,10.0,ml-22_ad06b17a_OS_splitCORe50_SI_AE,residual,0.5,bce,1.0,1000.0,1.0,32000.0,,5.0,False,True,False,False,False,False,True,True,False,,,,,
"['0156', 'ml-24', '55dff8e1', 'PL', 'splitCIFAR10', 'AE', 'taskInference']",splitCIFAR10,AE,taskInference,PL,0156,55dff8e1,0.5627999901771545,"[1.0, 1.0, 0.8186666369438171, 0.7260000109672546, 0.5952000021934509]","[nan, nan, 0.0, 0.0, 0.0]","[0.9810000061988831, 0.9330000281333923, 0.9438110589981079, 0.9455922842025757, 0.9455645084381104]",64.0,1.0,CIFAR10,AE,cuda,None,True,"[3, 32, 32]",True,64.0,0.0001,,5.0,55dff8e1_PL_splitCIFAR10_AE_taskInference,residual,0.5,bce,1.0,,10.0,,task_reconstruction_loss,50.0,,True,,,,True,True,,False,,,,,
